"network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","category_code","category_label","detail"
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE2","EE2",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE2","EE2",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE3","EE3",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE1","EE1",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Elders East","EE1","EE1",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR3","JocoRef3",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR3","JocoRef3",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR3","JocoRef3",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR2","JocoRef2",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR1","JocoRef1",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR2","JocoRef2",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR1","JocoRef1",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR1","JocoRef1",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR1","JocoRef1",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR3","JocoRef3",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR2","JocoRef2",2014-10-07,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR2","JocoRef2",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR2","JocoRef2",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR3","JocoRef3",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO REF","JocoR1","JocoRef1",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco3","Joco3",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco3","Joco3",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco3","Joco3",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco2","Joco2",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco1","Joco1",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco2","Joco2",2016-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco1","Joco1",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco1","Joco1",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco1","Joco1",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco3","Joco3",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco2","Joco2",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco2","Joco2",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco2","Joco2",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco3","Joco3",2016-10-26,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","JOCO","Joco1","Joco1",2015-05-05,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH1","SH1",2015-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH3","SH3",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH2","SH2",2015-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH2","SH2",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH1","SH1",2016-10-24,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH1","SH1",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH2","SH2",2014-10-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH1","SH1",2014-10-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH3","SH3",2016-10-24,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH3","SH3",2016-05-02,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH2","SH2",2016-05-02,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH1","SH1",2016-05-02,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH3","SH3",2015-05-04,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH3","SH3",2014-10-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Sandy Hook","SH2","SH2",2016-10-24,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES1","BES1",2015-05-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES1","BES1",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES2","BES2",2016-10-25,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES1","BES1",2016-10-25,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES3","BES3",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES2","BES2",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES2","BES2",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES1","BES1",2015-10-13,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES3","BES3",2015-05-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES3","BES3",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES3","BES3",2016-05-03,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES1","BES1",2016-05-03,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES2","BES2",2015-05-06,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES2","BES2",2016-05-03,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Spray-Restored","BES3","BES3",2016-10-25,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC2","BEC2",2015-10-14,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC3","BEC3",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC2","BEC2",2016-05-03,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC1","BEC1",2016-10-25,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC1","BEC1",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
"NCBN","Northeast Coastal and Barrier Network","GATE","Gateway National Recreation Area","Big Egg Control","BEC2","BEC2",2014-10-08,"PRO","Procedural","Pin height was not always measured from the same reference point on the SET arm. There were also several changes in the instrument used, pins used, and SET reader over time. Differences in instrument, pin length, and pin measurements should be accounted for by using the standardized pin height values in the exported data."
